"Date","Coin ID","Open","High","Low","Close","Daily Change %","Opportunity Highlight","SMA Short","SMA Long","RSI","Interpretation Notes"
"2025-05-09","bitcoin","101156","103461","101156","103076","1.9","","97123.75","96305.06","77.93","RSI Overbought (>70); Trend Up (SMA20>SMA50)"
"2025-05-09","bitcoin","103156","103163","102419","102419","-0.71","","97523.2","96472.4","73.1","RSI Overbought (>70); Trend Up (SMA20>SMA50)"
"2025-05-09","bitcoin","102431","103890","102403","103787","1.32","","97974.6","96663.42","76.38","RSI Overbought (>70); Trend Up (SMA20>SMA50)"
"2025-05-08","bitcoin","96171","97416","96149","97026","0.89","","95268.65","95600.76","60.2","RSI Neutral; Trend Down (SMA20<SMA50)"
"2025-05-08","bitcoin","97036","98967","96965","98967","1.99","","95438.3","95673.06","69.36","RSI Neutral; Trend Down (SMA20<SMA50)"
"2025-05-08","bitcoin","99037","99401","98684","99101","0.06","","95677","95769.96","69.88","RSI Neutral; Trend Down (SMA20<SMA50)"
"2025-05-08","bitcoin","99109","99869","99109","99532","0.43","","95948.15","95860.1","71.54","RSI Overbought (>70); Trend Up (SMA20>SMA50)"
"2025-05-08","bitcoin","99573","101784","99239","101784","2.22","","96301.25","96003.86","78.27","RSI Overbought (>70); Trend Up (SMA20>SMA50)"
"2025-05-08","bitcoin","100503","101533","100503","101162","0.66","","96656.3","96123.86","73.13","RSI Overbought (>70); Trend Up (SMA20>SMA50)"
"2025-05-07","bitcoin","94985","96855","94544","96855","1.97","","94984.7","95382.08","62.52","RSI Neutral; Trend Down (SMA20<SMA50)"
"2025-05-07","bitcoin","96816","97512","96323","96512","-0.31","","94992.35","95414.76","59.6","RSI Neutral; Trend Down (SMA20<SMA50)"
"2025-05-07","bitcoin","96497","96913","96355","96913","0.43","","95041.85","95452.4","61.84","RSI Neutral; Trend Down (SMA20<SMA50)"
"2025-05-07","bitcoin","96937","97069","96883","97017","0.08","","95100.6","95497.04","62.43","RSI Neutral; Trend Down (SMA20<SMA50)"
"2025-05-07","bitcoin","97007","97387","96738","96930","-0.08","","95153.65","95536.72","61.58","RSI Neutral; Trend Down (SMA20<SMA50)"
"2025-05-07","bitcoin","96941","96941","95967","96219","-0.74","","95192.8","95558.72","55","RSI Neutral; Trend Down (SMA20<SMA50)"
"2025-05-06","bitcoin","94381","95111","94026","94759","0.4","","95477.55","95318.16","46.05","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-05-06","bitcoin","94756","94833","94115","94460","-0.31","","95356.5","95318.64","43.69","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-05-06","bitcoin","94409","94560","94342","94403","-0.01","","95233.85","95330.52","43.24","RSI Neutral; Trend Down (SMA20<SMA50)"
"2025-05-06","bitcoin","94408","94408","93768","93768","-0.68","","95100.7","95328.76","38.44","RSI Neutral; Trend Down (SMA20<SMA50)"
"2025-05-06","bitcoin","93791","94649","93592","94551","0.81","","95010.3","95325.26","46.34","RSI Neutral; Trend Down (SMA20<SMA50)"
"2025-05-06","bitcoin","94551","95104","94308","95010","0.49","","94961.6","95319.36","50.36","RSI Neutral; Trend Down (SMA20<SMA50)"
"2025-05-05","bitcoin","95579","95742","94264","94327","-1.31","","96242.8","95306.78","36.8","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-05-05","bitcoin","94302","94737","93806","94109","-0.2","","96116.75","95303.52","35.31","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-05-05","bitcoin","94082","94728","94082","94722","0.68","","96031.5","95305.08","42.37","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-05-05","bitcoin","94737","94737","93977","94061","-0.71","","95875.2","95301.54","37.6","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-05-05","bitcoin","94089","94365","93704","93727","-0.38","","95737.75","95293.44","35.44","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-05-05","bitcoin","93725","94839","93725","94430","0.75","","95609.75","95301.8","42.9","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-05-04","bitcoin","96382","96410","95923","95923","-0.48","","96180.1","95215.02","50.49","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-05-04","bitcoin","95893","96255","95732","95842","-0.05","","96269.6","95228.22","49.75","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-05-04","bitcoin","95812","96112","95780","95869","0.06","","96351.25","95250.14","50.01","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-05-04","bitcoin","95875","95923","95416","95436","-0.46","","96384.45","95262.86","45.88","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-05-04","bitcoin","95428","95657","95324","95509","0.08","","96407.2","95278.76","46.68","RSI Neutral; Trend Up (SMA20>SMA50)"
