"Date","Coin ID","Open","High","Low","Close","Daily Change %","Opportunity Highlight","SMA Short","SMA Long","RSI","Interpretation Notes"
"2025-05-09","solana","160.32","163.46","160.32","163.42","1.93","","149.09","148.32","76.74","RSI Overbought (>70); Trend Up (SMA20>SMA50)"
"2025-05-09","solana","163.88","163.88","162.01","162.01","-1.14","","149.85","148.65","72.58","RSI Overbought (>70); Trend Up (SMA20>SMA50)"
"2025-05-09","solana","161.63","165.76","161.34","165.54","2.42","","150.79","149.01","76.07","RSI Overbought (>70); Trend Up (SMA20>SMA50)"
"2025-05-08","solana","145.86","148.2","145.74","147.2","0.92","","145.54","147.11","53.02","RSI Neutral; Trend Down (SMA20<SMA50)"
"2025-05-08","solana","147.21","151.04","147.21","150.35","2.13","","145.74","147.13","60.77","RSI Neutral; Trend Down (SMA20<SMA50)"
"2025-05-08","solana","150.87","151.86","150.16","151.56","0.46","","146.11","147.23","63.28","RSI Neutral; Trend Down (SMA20<SMA50)"
"2025-05-08","solana","151.54","155.06","151.54","154.45","1.92","","146.59","147.36","68.46","RSI Neutral; Trend Down (SMA20<SMA50)"
"2025-05-08","solana","154.5","161.6","154.42","161.23","4.36","","147.31","147.66","76.76","RSI Overbought (>70); Trend Down (SMA20<SMA50)"
"2025-05-08","solana","159.99","160.64","158.97","160.16","0.11","","148.11","147.9","73.47","RSI Overbought (>70); Trend Up (SMA20>SMA50)"
"2025-05-07","solana","144.88","146.91","143.85","146.91","1.4","","145.46","147.32","52.41","RSI Neutral; Trend Down (SMA20<SMA50)"
"2025-05-07","solana","146.94","149.28","145.82","146.2","-0.5","","145.4","147.27","50.42","RSI Neutral; Trend Down (SMA20<SMA50)"
"2025-05-07","solana","146.28","147","145.62","147","0.49","","145.41","147.25","52.6","RSI Neutral; Trend Down (SMA20<SMA50)"
"2025-05-07","solana","147.14","147.9","147.08","147.63","0.33","","145.49","147.25","54.31","RSI Neutral; Trend Down (SMA20<SMA50)"
"2025-05-07","solana","147.56","147.56","145.69","145.69","-1.27","","145.5","147.19","48.51","RSI Neutral; Trend Down (SMA20<SMA50)"
"2025-05-07","solana","145.72","146.82","145.24","145.8","0.05","","145.52","147.12","48.85","RSI Neutral; Trend Down (SMA20<SMA50)"
"2025-05-06","solana","146.58","147.42","145.2","146.81","0.16","","146.51","147.88","49.97","RSI Neutral; Trend Down (SMA20<SMA50)"
"2025-05-06","solana","146.76","146.76","144.07","144.67","-1.42","","146.34","147.78","44.06","RSI Neutral; Trend Down (SMA20<SMA50)"
"2025-05-06","solana","144.49","145.61","144.45","145.26","0.53","","146.2","147.72","45.95","RSI Neutral; Trend Down (SMA20<SMA50)"
"2025-05-06","solana","145.25","145.25","142.49","142.49","-1.9","","145.91","147.6","39.22","RSI Neutral; Trend Down (SMA20<SMA50)"
"2025-05-06","solana","142.51","143.69","141.9","143.3","0.55","","145.67","147.44","41.9","RSI Neutral; Trend Down (SMA20<SMA50)"
"2025-05-06","solana","143.17","145.06","142.59","144.87","1.19","","145.55","147.3","46.8","RSI Neutral; Trend Down (SMA20<SMA50)"
"2025-05-05","solana","146.27","147.02","143.85","143.98","-1.57","","147.93","148.23","37.89","RSI Neutral; Trend Down (SMA20<SMA50)"
"2025-05-05","solana","143.93","145.14","143.03","145","0.74","","147.65","148.15","41.97","RSI Neutral; Trend Down (SMA20<SMA50)"
"2025-05-05","solana","145","146.97","145","146.85","1.28","","147.45","148.1","48.57","RSI Neutral; Trend Down (SMA20<SMA50)"
"2025-05-05","solana","146.86","146.88","143.78","144.07","-1.9","","147.12","148.03","41.02","RSI Neutral; Trend Down (SMA20<SMA50)"
"2025-05-05","solana","144.15","144.88","143.86","143.9","-0.17","","146.87","147.96","40.6","RSI Neutral; Trend Down (SMA20<SMA50)"
"2025-05-05","solana","143.72","146.95","143.72","146.73","2.09","","146.68","147.93","49.73","RSI Neutral; Trend Down (SMA20<SMA50)"
"2025-05-04","solana","147.45","147.76","146.8","146.8","-0.44","","149.02","148.81","44.33","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-05-04","solana","146.76","147.47","145.82","146.02","-0.5","","149.04","148.7","42.16","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-05-04","solana","145.88","146.39","145.36","145.48","-0.27","","148.93","148.59","40.68","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-05-04","solana","145.51","145.81","144.88","145.4","-0.08","","148.76","148.47","40.45","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-05-04","solana","145.43","147.01","145.23","146.87","0.99","","148.61","148.37","46.37","RSI Neutral; Trend Up (SMA20>SMA50)"
"2025-05-04","solana","146.98","147.48","146.21","146.42","-0.38","","148.33","148.34","44.9","RSI Neutral; Trend Down (SMA20<SMA50)"
"2025-05-03","solana","147.97","148.46","147.56","147.97","0","","148.71","149.42","47.1","RSI Neutral; Trend Down (SMA20<SMA50)"
"2025-05-03","solana","148.07","148.83","147.77","148.48","0.28","","148.66","149.35","48.61","RSI Neutral; Trend Down (SMA20<SMA50)"
"2025-05-03","solana","148.44","148.48","147.6","148.02","-0.28","","148.74","149.27","47.3","RSI Neutral; Trend Down (SMA20<SMA50)"
"2025-05-03","solana","148.07","148.27","146.94","147.22","-0.57","","148.71","149.18","45.02","RSI Neutral; Trend Down (SMA20<SMA50)"
"2025-05-03","solana","147.18","148.84","147.18","148.68","1.02","","148.82","149.07","49.77","RSI Neutral; Trend Down (SMA20<SMA50)"
"2025-05-03","solana","148.61","148.61","146.16","147.43","-0.79","","148.8","148.93","46.1","RSI Neutral; Trend Down (SMA20<SMA50)"
"2025-05-02","solana","150.17","150.83","150.11","150.76","0.39","","148.39","149.36","55.05","RSI Neutral; Trend Down (SMA20<SMA50)"
"2025-05-02","solana","150.86","151.39","150.3","150.68","-0.12","","148.5","149.38","54.82","RSI Neutral; Trend Down (SMA20<SMA50)"
"2025-05-02","solana","150.75","150.87","148.7","148.85","-1.26","","148.54","149.33","49.79","RSI Neutral; Trend Down (SMA20<SMA50)"
"2025-05-02","solana","148.67","150.63","148.67","150.63","1.32","","148.69","149.38","54.2","RSI Neutral; Trend Down (SMA20<SMA50)"
"2025-05-02","solana","150.72","151.55","150.01","150.16","-0.37","","148.76","149.44","52.88","RSI Neutral; Trend Down (SMA20<SMA50)"
